DBN,District,School,SAT Score,SAT Test Takers,Percent AP Test Takers,Percent AP Tests Taken,Total Enrollment,Class Size,Percent Male,Percent White,Percent Black,Percent Hispanic,Percent Asian,Percent ELL,Teacher Safety,Student Safety,Lat,Lon
01M292,1,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,1122,29,30.6,46.7,422,22.6,61.4,1.7,29.1,53.8,14.0,22.3,6.3,6.0,40.7138,-73.9853
01M448,1,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,1172,91,9.9,12.4,394,22.2,57.4,2.3,22.6,45.9,29.2,21.1,6.6,6.0,40.7123,-73.9848
01M450,1,EAST SIDE COMMUNITY SCHOOL,1149,70,3.2,3.5,598,21.2,54.7,10.4,23.9,55.4,9.7,5.0,7.3,6.6,40.7298,-73.983
01M509,1,MARTA VALLE HIGH SCHOOL,1207,44,35.1,53.7,367,23.6,46.3,1.6,31.6,56.9,9.3,11.2,6.4,6.4,40.7206,-73.9857
01M539,1,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1621,159,15.8,23.4,1613,25.5,49.2,44.9,11.7,14.2,27.8,0.2,7.6,7.3,40.7187,-73.9794
01M696,1,BARD HIGH SCHOOL EARLY COLLEGE,1856,130,20.9,31.9,617,21.0,31.3,49.8,15.1,18.2,15.1,0.2,8.2,8.3,40.719,-73.9761
02M047,2,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,1182,16,74.1,113.2,174,16.1,42.5,6.3,32.2,59.2,1.7,8.0,8.1,7.3,40.7386,-73.9825
02M288,2,FOOD AND FINANCE HIGH SCHOOL,1194,62,29.8,45.5,433,22.7,45.0,4.8,44.1,47.6,3.0,2.1,7.3,6.2,40.765,-73.9925
02M294,2,ESSEX STREET ACADEMY,1156,53,37.6,57.4,343,14.9,53.4,7.6,27.7,60.6,4.1,3.8,8.0,7.4,40.7169,-73.9895
02M296,2,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,1111,58,30.8,47.0,419,23.0,32.2,2.1,26.5,66.1,5.3,9.5,8.6,7.1,40.765,-73.9925
02M298,2,PACE HIGH SCHOOL,1293,85,5.1,5.1,414,21.3,43.7,3.9,32.4,42.0,10.1,2.2,6.6,6.6,40.7164,-73.9927
02M300,2,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",1269,48,23.0,27.1,431,22.6,74.9,4.9,29.2,59.2,6.0,10.9,7.3,6.5,40.765,-73.9925
02M303,2,"FACING HISTORY SCHOOL, THE",1051,76,9.3,9.8,451,21.9,50.6,2.4,23.5,73.2,0.7,20.8,7.4,7.0,40.765,-73.9925
02M305,2,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",1148,50,8.0,11.9,312,20.8,43.9,3.5,41.7,50.6,3.8,6.1,5.4,6.0,40.7169,-73.9895
02M308,2,LOWER MANHATTAN ARTS ACADEMY,1200,40,38.4,58.6,336,23.2,39.9,3.6,30.7,55.7,9.5,3.9,7.4,6.6,40.7169,-73.9895
02M316,2,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",1127,42,34.1,52.1,378,26.3,0.0,1.3,46.8,48.4,3.4,2.6,7.0,6.8,40.7052,-74.0133
02M374,2,GRAMERCY ARTS HIGH SCHOOL,1176,60,26.1,39.8,495,27.2,26.3,6.7,45.3,45.1,2.8,3.0,6.4,6.1,40.7355,-73.9876
02M376,2,NYC ISCHOOL,1435,92,29.8,45.5,433,37.0,48.7,24.0,20.6,43.0,11.5,0.5,7.7,7.8,40.7244,-74.0048
02M392,2,MANHATTAN BUSINESS ACADEMY,1223,s,38.9,59.3,332,25.3,59.0,4.8,29.5,58.7,6.6,9.9,7.4,6.9,40.7429,-74.0021
02M393,2,BUSINESS OF SPORTS SCHOOL,1223,s,42.4,64.8,304,22.1,72.4,4.3,35.5,57.2,1.6,7.6,6.2,6.2,40.7634,-73.9905
02M399,2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,1223,s,52.9,80.7,244,17.9,48.0,5.3,15.6,32.8,44.3,28.3,6.3,6.6,40.7355,-73.9876
02M400,2,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,1419,263,15.3,21.4,1394,30.6,50.4,11.1,14.8,57.2,16.7,7.1,7.3,7.1,40.7678,-73.9875
02M408,2,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,1522,94,4.0,4.0,502,29.0,25.3,41.8,19.1,23.7,7.0,2.0,7.8,7.1,40.7614,-73.988
02M411,2,BARUCH COLLEGE CAMPUS HIGH SCHOOL,1577,104,18.1,26.6,432,26.6,44.0,18.8,5.8,14.6,60.6,1.6,8.0,7.8,40.744,-73.9915
02M412,2,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,1677,114,19.7,24.2,579,32.6,47.0,45.9,8.5,14.0,29.4,1.6,7.8,7.5,40.7421,-74.0021
02M414,2,N.Y.C. MUSEUM SCHOOL,1419,103,29.6,45.2,436,27.7,42.4,15.4,11.7,39.9,33.0,0.5,6.8,7.1,40.7421,-74.0021
02M416,2,ELEANOR ROOSEVELT HIGH SCHOOL,1758,127,30.6,46.4,507,27.4,32.5,63.7,5.5,11.6,17.2,0.2,8.2,8.1,40.7701,-73.9534
02M418,2,MILLENNIUM HIGH SCHOOL,1614,144,13.7,15.2,626,29.2,38.2,35.9,8.8,21.7,30.0,0.2,8.6,7.5,40.7049,-74.0115
02M419,2,LANDMARK HIGH SCHOOL,1170,62,30.6,46.8,421,23.2,48.5,1.9,18.1,74.8,5.2,15.7,7.2,6.7,40.7429,-74.0021
02M420,2,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,1306,336,11.5,14.0,1768,32.2,29.4,5.3,24.4,49.7,20.5,4.0,7.7,6.5,40.7325,-73.9831
02M425,2,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,1233,84,11.5,13.8,607,28.0,46.1,6.6,30.5,54.2,8.1,5.4,6.8,6.1,40.7091,-74.0121
02M427,2,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,1223,s,73.7,112.6,175,23.0,54.9,1.1,8.0,84.6,6.3,86.9,9.0,7.7,40.7461,-73.98100000000001
02M437,2,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,1223,s,57.1,87.2,226,28.0,60.6,6.6,23.5,62.4,5.8,8.8,8.7,7.0,40.7429,-74.0021
02M438,2,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,1223,s,73.3,111.9,176,24.5,61.4,3.4,12.5,43.2,40.3,94.9,8.1,7.5,40.7355,-73.9876
02M439,2,MANHATTAN VILLAGE ACADEMY,1372,95,9.8,16.1,429,21.4,38.5,4.9,16.8,71.8,6.3,3.7,8.7,7.6,40.7415,-73.9914
