District,SAT Score,Percent AP Test Takers,Percent AP Tests Taken,Total Enrollment,Class Size,Percent Male,Percent White,Percent Black,Percent Hispanic,Percent Asian,Percent ELL,Teacher Safety,Student Safety,Lat,Lon
1,1354.5,19.2,28.6,668.5,22.7,50.1,18.4,22.3,40.7,17.5,10.0,7.1,6.8,40.719,-73.9824
2,1295.6,26.6,40.1,605.6,25.0,44.7,10.1,24.7,49.6,14.5,13.0,7.4,6.9,40.7397,-73.9914
3,1293.3,26.8,40.2,661.4,23.7,48.0,13.7,34.0,44.5,6.4,9.0,6.7,6.7,40.7816,-73.9774
4,1224.1,24.7,36.4,569.3,24.1,30.5,1.3,30.0,61.4,6.1,4.6,7.9,6.9,40.7935,-73.9432
5,1285.0,16.2,21.8,605.9,24.3,48.5,6.7,49.0,36.2,7.3,4.2,6.9,6.3,40.8171,-73.9492
6,1164.6,22.1,33.0,621.8,25.3,53.8,0.7,11.5,86.4,0.8,30.0,7.5,7.0,40.849,-73.9325
7,1128.8,17.1,25.9,481.0,23.6,53.1,0.8,29.3,67.6,1.7,16.7,7.0,6.8,40.8168,-73.92
8,1159.5,24.9,37.4,684.5,23.8,45.5,2.6,27.8,66.1,2.8,15.8,7.1,6.4,40.8238,-73.8661
9,1132.0,17.6,25.8,442.8,24.0,49.0,0.7,33.1,64.1,1.5,19.9,6.9,6.7,40.8364,-73.9062
10,1222.2,15.4,24.2,818.5,24.3,48.6,6.5,23.0,63.3,6.6,18.2,7.0,6.6,40.8703,-73.8984
11,1165.0,17.0,25.1,562.5,25.0,55.9,3.1,41.3,50.8,3.8,12.1,7.0,6.2,40.8731,-73.8561
12,1101.8,26.5,39.8,391.0,22.2,50.1,0.8,28.1,69.3,1.6,27.1,7.3,7.1,40.8314,-73.8869
13,1237.2,18.1,27.1,902.0,24.6,48.7,3.6,68.5,16.3,10.5,8.7,7.1,6.4,40.6929,-73.977
14,1179.4,21.7,32.3,556.2,24.3,58.0,3.5,42.2,49.7,3.9,9.5,7.3,6.7,40.7116,-73.9484
15,1190.6,18.2,27.1,562.7,25.4,48.2,6.4,47.0,41.3,5.0,8.8,6.6,6.2,40.676,-73.9893
16,1120.0,31.0,47.7,658.5,24.2,53.4,0.9,80.1,16.9,1.1,3.7,5.8,5.9,40.688,-73.9297
17,1161.4,21.0,31.5,554.3,25.4,48.0,2.0,83.1,10.7,3.6,11.3,7.0,6.0,40.6603,-73.9556
18,1118.0,39.7,60.6,332.3,22.1,51.2,1.2,87.3,9.7,1.2,8.8,6.9,6.2,40.6419,-73.9147
19,1103.8,20.1,29.1,492.5,24.3,53.7,1.2,55.1,39.9,3.2,14.9,6.5,6.1,40.6765,-73.8821
20,1273.6,15.0,23.5,2462.6,25.4,44.9,21.8,12.6,32.3,32.9,20.8,7.8,7.1,40.6267,-74.0062
21,1206.3,20.6,31.4,1160.0,25.3,58.2,25.5,33.4,23.4,17.3,17.2,7.1,6.4,40.5936,-73.9784
22,1450.5,21.6,33.6,2142.5,30.1,44.3,34.0,35.1,12.4,18.0,4.4,8.2,7.0,40.6183,-73.9523
23,1157.3,6.4,6.8,503.7,24.3,44.4,0.6,87.1,10.6,1.1,1.6,7.0,6.2,40.6686,-73.9123
24,1242.0,18.5,27.3,991.0,23.9,51.6,11.3,7.8,63.4,17.2,21.1,7.7,7.1,40.7406,-73.9115
25,1357.0,20.5,29.0,1356.8,27.1,48.5,16.5,13.1,29.2,40.6,19.7,7.5,6.9,40.7454,-73.8156
26,1377.6,12.5,19.1,2991.6,30.0,49.2,13.4,28.4,19.4,38.1,7.5,7.0,6.8,40.7485,-73.7592
27,1224.3,15.1,22.8,1148.2,26.6,52.4,10.8,39.8,31.4,16.9,6.8,6.9,6.4,40.6388,-73.8078
28,1347.7,21.6,32.8,1210.6,26.8,45.9,9.4,37.5,20.0,31.3,5.0,7.6,6.6,40.7093,-73.8064
29,1181.9,21.1,32.1,428.2,25.4,51.9,1.0,84.0,9.2,4.8,2.9,7.0,6.1,40.6852,-73.7527
30,1326.3,17.1,26.0,1221.6,25.7,44.8,20.8,10.4,43.5,24.9,16.1,7.5,7.0,40.7554,-73.9323
31,1382.5,17.6,27.6,1850.6,28.1,52.1,48.8,18.3,22.2,10.3,2.9,7.2,6.5,40.5957,-74.1257
32,1119.5,17.0,24.3,420.8,22.5,51.7,1.0,19.8,76.8,1.8,18.5,7.0,6.8,40.6963,-73.9171
